summary,version,version_index,life_cycle,file_path
lastDir should override download.Dir when useDownloadDir is |false|,V30,2,0,show_test.cgi?id=4726
lastDir should override download.Dir when useDownloadDir is |false|,V36,4,2,show_test.cgi?id=8578
lastDir should override download.Dir when useDownloadDir is |false|,V40,6,4,show_test.cgi?id=10566
lastDir should override download.Dir when useDownloadDir is |false|,V35,3,1,show_test.cgi?id=6543
Folder annotations should be kept intact for delete / undo transactions,V30,2,0,show_test.cgi?id=4456
Folder annotations should be kept intact for delete / undo transactions,V36,4,2,show_test.cgi?id=8433
Folder annotations should be kept intact for delete / undo transactions,V40,6,4,show_test.cgi?id=10421
Folder annotations should be kept intact for delete / undo transactions,V35,3,1,show_test.cgi?id=6396
Using the App/Run from Shortcut: Set and Confirm Firefox as default browser on Vista,V30,2,1,show_test.cgi?id=4380
Using the App/Run from Shortcut: Set and Confirm Firefox as default browser on Vista,V20,1,0,show_test.cgi?id=2941
Most Visited (Bookmarks Toolbar folder) with top 10 frequently-visited sites,V36,4,1,show_test.cgi?id=8953
Most Visited (Bookmarks Toolbar folder) with top 10 frequently-visited sites,V40,6,3,show_test.cgi?id=10939
Most Visited (Bookmarks Toolbar folder) with top 10 frequently-visited sites,V35,3,0,show_test.cgi?id=6926
Manage search engine (Remove),V36,4,1,show_test.cgi?id=8240
Manage search engine (Remove),V35,3,0,show_test.cgi?id=6198
Paused download - Cancel,V30,2,0,show_test.cgi?id=4578
Paused download - Cancel,V36,4,2,show_test.cgi?id=8476
Paused download - Cancel,V40,6,4,show_test.cgi?id=10464
Paused download - Cancel,V35,3,1,show_test.cgi?id=6439
Switching tabs using the keyboard (using Tab button),V30,2,1,show_test.cgi?id=4219
Switching tabs using the keyboard (using Tab button),V36,4,3,show_test.cgi?id=8216
Switching tabs using the keyboard (using Tab button),V40,6,5,show_test.cgi?id=10205
Switching tabs using the keyboard (using Tab button),V35,3,2,show_test.cgi?id=6174
Switching tabs using the keyboard (using Tab button),V20,1,0,show_test.cgi?id=2245
Search: migrated/converted downloads with other-OS file path,V30,2,0,show_test.cgi?id=4603
Search: migrated/converted downloads with other-OS file path,V36,4,2,show_test.cgi?id=8497
Search: migrated/converted downloads with other-OS file path,V40,6,4,show_test.cgi?id=10485
