version,No of total tests,No of new tests,Min,Max,Average,Median
V30,636,357,1,1,1.0,1
V90,105,0,4,10,7.6380952380952385,8
V20,324,324,0,0,0,0
V35,946,339,1,2,1.413509060955519,1
V36,963,29,1,3,1.9036402569593147,2.0
V12,102,0,7,13,10.490196078431373,11.0
V13,104,0,8,14,11.413461538461538,12.0
V36_complete_web,1,0,3,3,3.0,3
V11,102,0,6,12,9.490196078431373,10.0
V70,230,0,2,8,5.765217391304348,6.0
V10,170,0,2,11,8.105882352941176,9.0
V60,60,0,2,7,5.216666666666667,6.0
V40,880,99,2,5,3.843790012804097,4
V14,32,0,10,15,12.71875,13.0
V50,265,1,1,6,3.5416666666666665,4.0
V80,148,1,3,9,6.469387755102041,7
